id,sex
55367,male
56911,male
55369,male
57274,female
57240,male
57337,female
50868,male
57427,female
58037,female
55265,male
55185,male
58068,female
58089,male
55136,female
55103,male
57250,female
55165,female
55207,female
57241,male
58165,male
58099,female
58188,male
55122,male
55171,male
55246,male
55198,female
55032,female
55245,male
56514,female
57436,male
54991,female
55010,female
57956,male
55038,female
54993,female
54990,female
54973,male
54917,female
54939,female
54977,female
56876,female
56237,female
56766,female
54925,female
58276,male
54379,female
55537,male
56346,male
54639,male
54815,female
40141,female
58215,female
40196,male
41071,female
41542,female
43603,male
40961,female
57537,male
58049,male
58551,male
58088,male
57914,male
57709,male
58681,male
58860,male
58012,male
58286,male
57919,female
58190,male
57885,female
57735,female
57227,female
57642,male
57742,female
57670,male
57597,male
57666,female
57613,male
57684,male
57839,female
57707,female
57595,male
57660,male
57165,male
57689,male
57606,female
57566,female
57157,male
57559,female
57534,female
57092,female
57050,female
57059,female
57480,female
57464,female
58328,female
56937,female
57336,male
57349,male
57321,male
57293,male
57340,male
57239,male
57264,male
56762,female
57324,male
57243,female
58048,female
58034,female
58340,female
58071,male
58092,female
58073,female
58285,female
58195,male
58103,female
58105,female
58109,female
58301,male
58191,male
58234,female
58171,male
56344,female
56371,female
56528,male
56984,male
57047,male
57028,male
56465,male
56382,female
56399,female
56374,female
56523,male
56232,male
56521,female
56450,female
56193,male
56624,male
54404,female
54159,male
54271,female
56315,male
56343,female
56559,male
56210,male
55995,female
56234,male
56331,female
56368,male
56618,male
56632,female
56695,female
57695,female
56001,male
56106,male
55586,female
56046,male
55856,male
55816,male
55819,male
56085,male
56570,female
55424,male
56139,male
57226,male
56823,female
55543,male
55638,female
55922,male
55701,female
55754,female
56860,male
55734,female
55721,female
55760,male
57099,male
56144,female
56476,male
55740,female
56481,female
56229,female
55717,female
55691,female
55576,male
55898,male
55643,male
55528,female
55963,female
55739,female
55842,female
55807,male
55977,female
57177,male
57170,female
57032,male
55849,male
55891,female
57060,female
56788,female
56741,female
55841,male
57001,male
57296,female
57205,male
56031,female
55921,male
55838,male
55582,female
55517,female
56934,male
57074,female
56826,female
56150,female
57016,female
56828,male
56824,female
56628,female
57694,male
57046,male
56394,male
55725,female
56348,male
56201,female
56638,female
56540,male
55689,female
55465,male
56180,male
55719,female
56179,male
56048,male
55673,female
55353,male
56517,female
56458,male
55572,female
56381,male
56332,female
55955,female
55336,female
55863,male
56181,male
56074,male
56187,male
56317,female
56066,male
55850,female
55979,female
55451,female
55623,male
56448,female
56111,female
56622,male
55848,male
56129,male
55966,male
55437,female
55322,male
55971,female
56958,male
55552,female
55474,male
56889,male
55658,female
56563,female
56137,male
57476,male
56945,male
56444,female
56220,male
56431,female
56415,male
56684,male
56986,female
56711,female
56701,female
56697,female
55851,male
55873,male
56859,male
55897,male
55892,female
55872,male
56084,female
55420,male
55958,female
56091,female
56550,female
56156,male
56827,male
56034,male
56089,female
56750,female
56829,male
55591,male
56042,female
55983,female
55813,female
56079,female
56398,female
56322,male
56809,female
58233,male
57035,female
57118,male
56578,female
56030,female
57711,female
56069,male
56620,female
56825,female
56755,male
56898,female
57323,male
57079,female
58206,female
57039,female
55746,male
57045,male
56485,female
56132,male
56226,female
56126,female
55910,male
55758,female
58197,male
55129,female
55300,female
55544,male
56478,male
55419,male
55525,male
57810,male
58217,female
58214,male
55713,female
56470,male
55742,male
57008,female
55686,female
55387,male
56464,female
56039,male
58202,female
56093,female
56518,female
56388,male
56054,male
57147,male
56352,male
56721,male
56383,male
56720,female
56405,male
56477,male
56140,male
56522,male
57434,female
56334,female
56749,male
57192,male
56527,female
56732,male
56712,male
56970,male
57055,male
56985,female
57117,female
58435,male
58523,male
58720,female
58128,female
58132,female
57592,male
58079,female
58304,male
57908,female
58406,female
58372,male
57823,male
57741,female
57062,male
56366,female
54821,male
54840,male
54487,male
54422,female
54377,female
55373,male
55940,male
55535,male
56897,male
55338,male
55181,male
55179,male
55162,male
55157,female
55144,male
55220,male
55217,male
55223,male
55932,female
55332,female
54881,female
55928,male
55315,female
55080,female
54944,female
55324,female
55352,female
55146,male
56386,male
55697,male
55311,female
55064,male
55063,female
54974,male
55281,male
55168,female
55282,male
54875,female
55011,male
54966,female
55056,male
54978,female
58232,female
58228,female
54531,male
54521,male
57496,male
54794,female
54914,female
55062,female
54828,male
56499,female
55027,male
58204,male
58335,male
58262,male
58530,female
58361,male
58310,male
57710,male
57658,female
57552,male
57575,female
57462,female
58347,male
57374,female
57273,male
57201,female
57222,female
57159,female
57111,female
57097,female
57139,female
56995,male
56771,male
56772,female
55877,male
55878,male
55867,male
58146,female
58137,male
58176,male
58093,female
57983,female
58173,male
58394,female
58096,male
58550,male
58046,female
58000,female
57943,female
57902,female
57725,male
57569,female
56224,male
56363,female
57369,female
58319,male
54960,female
54912,male
54866,male
54788,female
54816,male
58059,female
55108,male
54709,female
54717,female
54705,female
54680,female
54469,female
54250,male
55155,male
54548,male
50010,female
54538,female
54731,male
54160,female
52823,female
53656,male
52554,male
51407,male
54169,male
54286,female
54322,male
54202,male
53655,female
52360,female
57148,male
53563,male
51273,female
53292,female
54904,female
57254,male
59175,female
59385,male
58701,female
58761,male
58333,male
58329,female
58737,female
58308,female
58746,female
58724,female
58725,male
58299,male
58547,female
58257,female
58256,male
58298,female
58139,female
58120,female
58136,female
58420,female
59309,female
58265,male
58124,female
57815,female
57788,male
57805,female
57717,male
